0 1 [0, 0, 1, -1, -1, -1, 1, 0, 1] None {'N': 0, 'W': 0, 'Q': 0, 'P': None}
0 1 -1 [-1, 1, -1, 1, -1, 1, -1, -1, 1] 0 {'N': 1687, 'W': -1575, 'Q': -0.9336099585062241, 'P': None}
0 2 -1 [1, -1, 0, 1, 1, -1, -1, -1, 1] 1 {'N': 1652, 'W': -1272, 'Q': -0.7699757869249395, 'P': None}
0 3 -1 [0, 1, -1, 1, -1, 1, -1, 0, -1] 2 {'N': 1655, 'W': -1470, 'Q': -0.8882175226586103, 'P': None}
0 4 -1 [1, 1, -1, -1, 1, 1, -1, -1, -1] 3 {'N': 3, 'W': -3, 'Q': -1.0, 'P': None}
0 5 -1 [0, 0, 0, 0, -1, 0, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
0 6 -1 [1, 0, 0, -1, 1, -1, 0, -1, 1] 5 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
0 7 -1 [1, -1, 0, 1, -1, 0, -1, -1, 1] 6 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
0 8 -1 [0, 0, 0, 0, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
0 9 -1 [0, 0, 0, 0, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
1 49 1 [-1, 1, 1, 0, -1, 0, 0, 1, -1] 1 {'N': 821, 'W': 746, 'Q': 0.9086479902557856, 'P': None}
1 50 1 [-1, -1, 1, -1, 0, 0, 1, 1, 1] 2 {'N': 860, 'W': 825, 'Q': 0.9593023255813954, 'P': None}
1 51 1 [-1, 1, -1, 1, 1, 1, 1, -1, -1] 3 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
1 52 1 [-1, 0, 1, 0, 1, 0, 1, -1, 0] 4 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
1 53 1 [-1, 0, 1, -1, -1, 1, 0, 1, 1] 5 {'N': 2, 'W': 2, 'Q': 1.0, 'P': None}
1 54 1 [-1, 0, 0, 0, 0, 0, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
1 55 1 [-1, 0, 0, 0, 0, 0, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
1 56 1 [-1, -1, -1, 1, 1, 0, 0, 0, 1] 8 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
2 71 1 [1, -1, -1, -1, 1, 1, -1, 1, 1] 0 {'N': 516, 'W': 370, 'Q': 0.7170542635658915, 'P': None}
2 72 1 [0, -1, 1, 0, 1, -1, 1, 0, 0] 2 {'N': 551, 'W': 377, 'Q': 0.6842105263157895, 'P': None}
2 73 1 [1, -1, 1, 1, 1, -1, -1, -1, 1] 3 {'N': 582, 'W': 524, 'Q': 0.9003436426116839, 'P': None}
