 0 1 [0, 0, 0, 0, 0, 0, 0, 0, 0] None {'N': 5000, 'W': -3453, 'Q': -0.6906, 'P': None}
0 1 -1 [1, 0, 0, 0, 0, 0, 0, 0, 0] 0 {'N': 1653, 'W': 1518, 'Q': 0.9183303085299456, 'P': None}
0 2 -1 [0, 1, 0, 0, 0, 0, 0, 0, 0] 1 {'N': 1683, 'W': 829, 'Q': 0.49257278669043375, 'P': None}
0 3 -1 [0, 0, 1, 0, 0, 0, 0, 0, 0] 2 {'N': 1658, 'W': 1102, 'Q': 0.6646562123039808, 'P': None}
0 4 -1 [0, 0, 0, 1, 0, 0, 0, 0, 0] 3 {'N': 2, 'W': 0, 'Q': 0.0, 'P': None}
0 5 -1 [0, 0, 0, 0, 1, 0, 0, 0, 0] 4 {'N': 2, 'W': 2, 'Q': 1.0, 'P': None}
0 6 -1 [0, 0, 0, 0, 0, 1, 0, 0, 0] 5 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
0 7 -1 [0, 0, 0, 0, 0, 0, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
0 8 -1 [0, 0, 0, 0, 0, 0, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
0 9 -1 [0, 0, 0, 0, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
1 26 1 [1, -1, 0, 0, 0, 0, 0, 0, 0] 1 {'N': 831, 'W': -750, 'Q': -0.9025270758122743, 'P': None}
1 27 1 [1, 0, -1, 0, 0, 0, 0, 0, 0] 2 {'N': 815, 'W': -765, 'Q': -0.9386503067484663, 'P': None}
1 28 1 [1, 0, 0, -1, 0, 0, 0, 0, 0] 3 {'N': 1, 'W': 0, 'Q': 0.0, 'P': None}
1 29 1 [1, 0, 0, 0, -1, 0, 0, 0, 0] 4 {'N': 3, 'W': -3, 'Q': -1.0, 'P': None}
1 30 1 [1, 0, 0, 0, 0, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
1 31 1 [1, 0, 0, 0, 0, 0, -1, 0, 0] 6 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
1 32 1 [1, 0, 0, 0, 0, 0, 0, -1, 0] 7 {'N': 1, 'W': 0, 'Q': 0.0, 'P': None}
1 33 1 [1, 0, 0, 0, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
2 63 1 [-1, 1, 0, 0, 0, 0, 0, 0, 0] 0 {'N': 532, 'W': -91, 'Q': -0.17105263157894737, 'P': None}
2 64 1 [0, 1, -1, 0, 0, 0, 0, 0, 0] 2 {'N': 588, 'W': -259, 'Q': -0.44047619047619047, 'P': None}
2 65 1 [0, 1, 0, -1, 0, 0, 0, 0, 0] 3 {'N': 560, 'W': -481, 'Q': -0.8589285714285714, 'P': None}
2 66 1 [0, 1, 0, 0, -1, 0, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
2 67 1 [0, 1, 0, 0, 0, -1, 0, 0, 0] 5 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
2 68 1 [0, 1, 0, 0, 0, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
2 69 1 [0, 1, 0, 0, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
2 70 1 [0, 1, 0, 0, 0, 0, 0, 0, -1] 8 {'N': 1, 'W': 0, 'Q': 0.0, 'P': None}
3 78 1 [-1, 0, 1, 0, 0, 0, 0, 0, 0] 0 {'N': 545, 'W': -237, 'Q': -0.43486238532110094, 'P': None}
3 79 1 [0, -1, 1, 0, 0, 0, 0, 0, 0] 1 {'N': 554, 'W': -370, 'Q': -0.6678700361010831, 'P': None}
3 80 1 [0, 0, 1, -1, 0, 0, 0, 0, 0] 3 {'N': 550, 'W': -495, 'Q': -0.9, 'P': None}
3 81 1 [0, 0, 1, 0, -1, 0, 0, 0, 0] 4 {'N': 7, 'W': 0, 'Q': 0.0, 'P': None}
3 82 1 [0, 0, 1, 0, 0, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
3 83 1 [0, 0, 1, 0, 0, 0, -1, 0, 0] 6 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
3 84 1 [0, 0, 1, 0, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
3 85 1 [0, 0, 1, 0, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
4 34 1 [-1, 0, 0, 1, 0, 0, 0, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
4 35 1 [0, -1, 0, 1, 0, 0, 0, 0, 0] 1 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
4 36 1 [0, 0, -1, 1, 0, 0, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
4 37 1 [0, 0, 0, 1, -1, 0, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
4 38 1 [0, 0, 0, 1, 0, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
4 39 1 [0, 0, 0, 1, 0, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
4 40 1 [0, 0, 0, 1, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
4 41 1 [0, 0, 0, 1, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
5 10 1 [-1, 0, 0, 0, 1, 0, 0, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
5 11 1 [0, -1, 0, 0, 1, 0, 0, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
